SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.673,0.015,0.010
0.303,0.673,0.015,0.010
0.306,0.673,0.016,0.011
0.309,0.673,0.016,0.011
0.312,0.673,0.015,0.010
0.315,0.673,0.016,0.011
0.318,0.673,0.018,0.012
0.321,0.673,0.020,0.014
0.324,0.673,0.022,0.015
0.327,0.673,0.026,0.017
0.330,0.673,0.032,0.021
0.333,0.672,0.040,0.027
0.336,0.672,0.052,0.035
0.339,0.672,0.066,0.044
0.342,0.671,0.086,0.058
0.345,0.671,0.112,0.075
0.348,0.670,0.149,0.100
0.351,0.669,0.191,0.128
0.354,0.667,0.248,0.165
0.357,0.665,0.317,0.211
0.360,0.662,0.420,0.278
0.363,0.659,0.536,0.353
0.366,0.655,0.682,0.447
0.369,0.649,0.873,0.566
0.372,0.641,1.085,0.696
0.375,0.631,1.342,0.847
0.378,0.617,1.658,1.023
0.381,0.592,2.045,1.211
0.384,0.544,2.430,1.322
0.387,0.351,2.623,0.920
0.390,0.200,2.625,0.526
0.393,0.151,2.627,0.396
0.396,0.127,2.628,0.333
0.399,0.113,2.628,0.297
0.402,0.104,2.631,0.273
0.405,0.097,2.628,0.256
0.408,0.093,2.626,0.243
0.411,0.089,2.630,0.233
0.414,0.086,2.626,0.226
0.417,0.084,2.627,0.220
0.420,0.082,2.624,0.215
0.423,0.080,2.623,0.210
0.426,0.079,2.626,0.207
0.429,0.078,2.626,0.204
0.432,0.077,2.624,0.201
0.435,0.076,2.628,0.200
0.438,0.075,2.624,0.197
0.441,0.075,2.629,0.197
0.444,0.074,2.629,0.195
0.447,0.074,2.626,0.193
0.450,0.073,2.628,0.193
0.450,0.073,2.626,0.193
0.447,0.074,2.627,0.194
0.444,0.074,2.629,0.195
0.441,0.075,2.629,0.197
0.438,0.075,2.631,0.198
0.435,0.076,2.631,0.200
0.432,0.077,2.628,0.202
0.429,0.078,2.634,0.206
0.426,0.079,2.631,0.208
0.423,0.080,2.631,0.211
0.420,0.082,2.633,0.216
0.417,0.084,2.629,0.220
0.414,0.086,2.632,0.227
0.411,0.089,2.630,0.234
0.408,0.093,2.627,0.244
0.405,0.098,2.630,0.257
0.402,0.104,2.626,0.274
0.399,0.114,2.630,0.300
0.396,0.128,2.627,0.338
0.393,0.154,2.625,0.404
0.390,0.210,2.627,0.551
0.387,0.378,2.621,0.991
0.384,0.551,2.398,1.321
0.381,0.595,2.025,1.204
0.378,0.618,1.650,1.020
0.375,0.632,1.347,0.852
0.372,0.642,1.090,0.700
0.369,0.649,0.877,0.569
0.366,0.655,0.682,0.447
0.363,0.659,0.540,0.356
0.360,0.663,0.423,0.280
0.357,0.666,0.324,0.216
0.354,0.668,0.250,0.167
0.351,0.669,0.192,0.129
0.348,0.670,0.149,0.100
0.345,0.671,0.113,0.076
0.342,0.672,0.087,0.058
0.339,0.672,0.067,0.045
0.336,0.673,0.051,0.034
0.333,0.673,0.040,0.027
0.330,0.673,0.032,0.021
0.327,0.674,0.026,0.018
0.324,0.674,0.022,0.015
0.321,0.674,0.019,0.013
0.318,0.674,0.017,0.011
0.315,0.674,0.016,0.011
0.312,0.674,0.015,0.010
0.309,0.674,0.015,0.010
0.306,0.674,0.018,0.012
0.303,0.674,0.015,0.010
0.300,0.674,0.015,0.010
TERMINATE SCAN MODE
