SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.640,0.020,0.013
0.303,0.639,0.016,0.010
0.306,0.639,0.015,0.010
0.309,0.639,0.015,0.009
0.312,0.639,0.015,0.010
0.315,0.639,0.016,0.010
0.318,0.638,0.015,0.010
0.321,0.638,0.018,0.012
0.324,0.638,0.020,0.013
0.327,0.637,0.027,0.017
0.330,0.637,0.032,0.020
0.333,0.637,0.039,0.025
0.336,0.636,0.052,0.033
0.339,0.635,0.066,0.042
0.342,0.635,0.085,0.054
0.345,0.634,0.108,0.069
0.348,0.633,0.142,0.090
0.351,0.631,0.187,0.118
0.354,0.629,0.239,0.150
0.357,0.627,0.308,0.193
0.360,0.624,0.409,0.255
0.363,0.620,0.520,0.322
0.366,0.615,0.659,0.406
0.369,0.608,0.846,0.515
0.372,0.599,1.066,0.639
0.375,0.589,1.299,0.766
0.378,0.574,1.605,0.922
0.381,0.549,1.984,1.090
0.384,0.509,2.347,1.195
0.387,0.370,2.601,0.961
0.390,0.208,2.609,0.543
0.393,0.153,2.609,0.399
0.396,0.127,2.607,0.332
0.399,0.113,2.611,0.295
0.402,0.103,2.609,0.268
0.405,0.097,2.612,0.252
0.408,0.092,2.612,0.240
0.411,0.088,2.606,0.229
0.414,0.085,2.614,0.223
0.417,0.083,2.610,0.216
0.420,0.081,2.609,0.211
0.423,0.079,2.613,0.207
0.426,0.078,2.609,0.204
0.429,0.077,2.614,0.201
0.432,0.076,2.612,0.199
0.435,0.075,2.609,0.196
0.438,0.075,2.612,0.195
0.441,0.074,2.613,0.193
0.444,0.073,2.609,0.191
0.447,0.073,2.614,0.191
0.450,0.072,2.606,0.189
0.450,0.072,2.606,0.189
0.447,0.073,2.606,0.190
0.444,0.073,2.602,0.191
0.441,0.074,2.607,0.192
0.438,0.074,2.603,0.194
0.435,0.075,2.603,0.196
0.432,0.076,2.602,0.198
0.429,0.077,2.604,0.200
0.426,0.078,2.604,0.203
0.423,0.079,2.601,0.207
0.420,0.081,2.600,0.211
0.417,0.083,2.604,0.217
0.414,0.086,2.601,0.223
0.411,0.089,2.606,0.231
0.408,0.093,2.608,0.243
0.405,0.098,2.603,0.256
0.402,0.106,2.606,0.275
0.399,0.117,2.601,0.305
0.396,0.135,2.604,0.352
0.393,0.168,2.604,0.437
0.390,0.245,2.598,0.636
0.387,0.427,2.554,1.090
0.384,0.520,2.222,1.156
0.381,0.552,1.861,1.026
0.378,0.572,1.520,0.870
0.375,0.586,1.215,0.712
0.372,0.595,0.995,0.592
0.369,0.603,0.798,0.481
0.366,0.609,0.623,0.379
0.363,0.613,0.488,0.299
0.360,0.616,0.390,0.240
0.357,0.619,0.286,0.177
0.354,0.621,0.223,0.138
0.351,0.623,0.172,0.107
0.348,0.624,0.134,0.084
0.345,0.624,0.101,0.063
0.342,0.625,0.079,0.049
0.339,0.626,0.059,0.037
0.336,0.626,0.047,0.029
0.333,0.626,0.036,0.023
0.330,0.626,0.031,0.020
0.327,0.626,0.027,0.017
0.324,0.626,0.019,0.012
0.321,0.627,0.020,0.012
0.318,0.626,0.018,0.011
0.315,0.626,0.015,0.009
0.312,0.626,0.015,0.009
0.309,0.626,0.015,0.009
0.306,0.626,0.017,0.010
0.303,0.626,0.015,0.009
0.300,0.626,0.016,0.010
TERMINATE SCAN MODE
