SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.679,0.016,0.011
0.303,0.678,0.016,0.011
0.306,0.678,0.015,0.010
0.309,0.678,0.015,0.010
0.312,0.678,0.016,0.011
0.315,0.678,0.015,0.010
0.318,0.677,0.015,0.010
0.321,0.677,0.019,0.013
0.324,0.677,0.023,0.016
0.327,0.676,0.028,0.019
0.330,0.676,0.031,0.021
0.333,0.676,0.040,0.027
0.336,0.675,0.052,0.035
0.339,0.674,0.064,0.043
0.342,0.674,0.083,0.056
0.345,0.673,0.108,0.073
0.348,0.671,0.145,0.098
0.351,0.670,0.187,0.125
0.354,0.668,0.240,0.160
0.357,0.665,0.315,0.210
0.360,0.662,0.410,0.272
0.363,0.658,0.525,0.345
0.366,0.653,0.670,0.438
0.369,0.646,0.859,0.555
0.372,0.638,1.065,0.679
0.375,0.626,1.319,0.826
0.378,0.611,1.629,0.995
0.381,0.585,2.006,1.174
0.384,0.542,2.396,1.298
0.387,0.383,2.649,1.016
0.390,0.212,2.649,0.563
0.393,0.156,2.651,0.413
0.396,0.130,2.647,0.344
0.399,0.115,2.644,0.304
0.402,0.105,2.649,0.278
0.405,0.098,2.645,0.260
0.408,0.094,2.645,0.247
0.411,0.090,2.648,0.237
0.414,0.087,2.647,0.229
0.417,0.084,2.651,0.224
0.420,0.083,2.651,0.219
0.423,0.081,2.650,0.215
0.426,0.080,2.651,0.211
0.429,0.078,2.649,0.207
0.432,0.078,2.652,0.206
0.435,0.077,2.649,0.203
0.438,0.076,2.646,0.200
0.441,0.075,2.652,0.200
0.444,0.075,2.652,0.198
0.447,0.074,2.645,0.196
0.450,0.074,2.643,0.195
0.450,0.074,2.641,0.194
0.447,0.074,2.643,0.196
0.444,0.075,2.646,0.197
0.441,0.075,2.639,0.198
0.438,0.076,2.644,0.201
0.435,0.076,2.643,0.202
0.432,0.077,2.642,0.205
0.429,0.078,2.644,0.207
0.426,0.079,2.643,0.210
0.423,0.081,2.647,0.214
0.420,0.082,2.647,0.218
0.417,0.085,2.647,0.224
0.414,0.087,2.648,0.230
0.411,0.090,2.650,0.238
0.408,0.094,2.648,0.249
0.405,0.099,2.651,0.262
0.402,0.105,2.639,0.277
0.399,0.116,2.641,0.306
0.396,0.131,2.640,0.345
0.393,0.158,2.638,0.418
0.390,0.220,2.638,0.582
0.387,0.405,2.628,1.064
0.384,0.540,2.357,1.274
0.381,0.581,1.982,1.151
0.378,0.605,1.618,0.979
0.375,0.621,1.318,0.818
0.372,0.631,1.070,0.676
0.369,0.640,0.857,0.548
0.366,0.647,0.672,0.435
0.363,0.652,0.526,0.343
0.360,0.656,0.414,0.272
0.357,0.659,0.317,0.209
0.354,0.661,0.246,0.163
0.351,0.663,0.188,0.125
0.348,0.664,0.146,0.097
0.345,0.665,0.109,0.072
0.342,0.666,0.083,0.055
0.339,0.667,0.065,0.043
0.336,0.667,0.048,0.032
0.333,0.667,0.039,0.026
0.330,0.668,0.032,0.021
0.327,0.668,0.025,0.017
0.324,0.668,0.020,0.013
0.321,0.668,0.017,0.012
0.318,0.668,0.016,0.010
0.315,0.668,0.015,0.010
0.312,0.668,0.016,0.010
0.309,0.668,0.016,0.011
0.306,0.668,0.015,0.010
0.303,0.668,0.015,0.010
0.300,0.668,0.017,0.011
TERMINATE SCAN MODE
