SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.707,0.015,0.011
0.303,0.707,0.015,0.011
0.306,0.706,0.014,0.010
0.309,0.706,0.016,0.011
0.312,0.706,0.016,0.011
0.315,0.706,0.017,0.012
0.318,0.706,0.016,0.011
0.321,0.706,0.015,0.011
0.324,0.705,0.018,0.013
0.327,0.705,0.016,0.011
0.330,0.705,0.015,0.010
0.333,0.704,0.015,0.011
0.336,0.704,0.015,0.011
0.339,0.704,0.015,0.010
0.342,0.704,0.014,0.010
0.345,0.704,0.015,0.011
0.348,0.703,0.015,0.011
0.351,0.703,0.015,0.011
0.354,0.703,0.015,0.011
0.357,0.703,0.015,0.011
0.360,0.702,0.016,0.011
0.363,0.702,0.016,0.011
0.366,0.702,0.020,0.014
0.369,0.702,0.025,0.018
0.372,0.701,0.035,0.024
0.375,0.700,0.047,0.033
0.378,0.700,0.064,0.045
0.381,0.699,0.098,0.068
0.384,0.697,0.131,0.091
0.387,0.696,0.173,0.120
0.390,0.694,0.226,0.157
0.393,0.691,0.305,0.211
0.396,0.686,0.431,0.296
0.399,0.679,0.610,0.414
0.402,0.666,0.913,0.608
0.405,0.646,1.284,0.829
0.408,0.626,1.525,0.955
0.411,0.567,1.926,1.091
0.414,0.513,2.109,1.083
0.417,0.436,2.287,0.996
0.420,0.329,2.470,0.813
0.423,0.187,2.549,0.478
0.426,0.143,2.556,0.366
0.429,0.114,2.566,0.291
0.432,0.100,2.569,0.257
0.435,0.094,2.570,0.240
0.438,0.089,2.573,0.229
0.441,0.085,2.570,0.218
0.444,0.084,2.575,0.218
0.447,0.082,2.573,0.212
0.450,0.081,2.576,0.208
0.450,0.084,2.580,0.216
0.447,0.101,2.572,0.260
0.444,0.182,2.559,0.465
0.441,0.589,1.848,1.089
0.438,0.673,0.715,0.481
0.435,0.691,0.230,0.159
0.432,0.695,0.083,0.058
0.429,0.697,0.040,0.028
0.426,0.697,0.024,0.017
0.423,0.697,0.017,0.012
0.420,0.697,0.016,0.011
0.417,0.697,0.015,0.011
0.414,0.697,0.016,0.011
0.411,0.697,0.015,0.011
0.408,0.697,0.015,0.010
0.405,0.697,0.015,0.010
0.402,0.697,0.017,0.012
0.399,0.697,0.015,0.011
0.396,0.697,0.015,0.010
0.393,0.697,0.015,0.011
0.390,0.697,0.015,0.010
0.387,0.697,0.016,0.011
0.384,0.697,0.016,0.011
0.381,0.696,0.015,0.010
0.378,0.696,0.015,0.011
0.375,0.697,0.016,0.011
0.372,0.696,0.016,0.011
0.369,0.696,0.016,0.011
0.366,0.696,0.017,0.012
0.363,0.696,0.015,0.010
0.360,0.696,0.015,0.010
0.357,0.696,0.017,0.012
0.354,0.696,0.015,0.011
0.351,0.696,0.015,0.011
0.348,0.696,0.015,0.011
0.345,0.696,0.015,0.010
0.342,0.696,0.015,0.011
0.339,0.696,0.016,0.011
0.336,0.696,0.015,0.011
0.333,0.696,0.019,0.013
0.330,0.696,0.016,0.011
0.327,0.696,0.016,0.011
0.324,0.695,0.016,0.011
0.321,0.696,0.016,0.011
0.318,0.695,0.015,0.011
0.315,0.695,0.016,0.011
0.312,0.695,0.015,0.011
0.309,0.695,0.016,0.011
0.306,0.695,0.016,0.011
0.303,0.695,0.016,0.011
0.300,0.695,0.017,0.012
TERMINATE SCAN MODE
