SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.000391,0.641981,3.394387,2.179131960647
0.000363,0.63686,3.403103,2.16730017658
0.000391,0.640274,3.403103,2.178918370222
0.000113,0.640274,3.394387,2.173337742038
0.000544,0.640274,3.403103,2.178918370222
0.000321,0.640274,3.394387,2.173337742038
0.000308,0.638567,3.394387,2.167543523429
0.000127,0.641981,3.403103,2.1847274670430004
0.000419,0.638567,3.394387,2.167543523429
0.000849,0.640274,3.394387,2.173337742038
0.000599,0.641981,3.394387,2.179131960647
0.00028,0.640274,3.394387,2.173337742038
0.000433,0.638567,3.394387,2.167543523429
0.000252,0.63686,3.403103,2.16730017658
0.000127,0.638567,3.394387,2.167543523429
0.000391,0.640274,3.38567,2.1677564735800003
-6.726439e-05,0.640274,3.394387,2.173337742038
0.000349,0.640274,3.394387,2.173337742038
0.000183,0.640274,3.38567,2.1677564735800003
0.00053,0.638567,3.394387,2.167543523429
0.000405,0.63686,3.403103,2.16730017658
0.000113,0.641981,3.394387,2.179131960647
0.000363,0.641981,3.394387,2.179131960647
0.000308,0.641981,3.403103,2.1847274670430004
0.00046,0.638567,3.403103,2.1731092734010002
1.603016e-05,0.640274,3.394387,2.173337742038
0.000419,0.640274,3.394387,2.173337742038
0.000752,0.638567,3.38567,2.1619771348900003
0.000502,0.638567,3.394387,2.167543523429
0.000335,0.638567,3.394387,2.167543523429
0.000405,0.640274,3.411819,2.184498998406
0.000169,0.640274,3.394387,2.173337742038
0.00053,0.640274,3.403103,2.178918370222
0.000197,0.641981,3.403103,2.1847274670430004
0.000502,0.640274,3.403103,2.178918370222
0.000446,0.641981,3.394387,2.179131960647
0.000474,0.638567,3.38567,2.1619771348900003
0.000308,0.638567,3.394387,2.167543523429
0.000488,0.640274,3.394387,2.173337742038
7.155986e-05,0.641981,3.394387,2.179131960647
0.000419,0.640274,3.394387,2.173337742038
0.000127,0.641981,3.403103,2.1847274670430004
0.000224,0.640274,3.403103,2.178918370222
0.000682,0.638567,3.394387,2.167543523429
0.00028,0.641981,3.394387,2.179131960647
0.000627,0.640274,3.403103,2.178918370222
0.000474,0.641981,3.403103,2.1847274670430004
9.932471e-05,0.640274,3.403103,2.178918370222
0.000197,0.640274,3.394387,2.173337742038
7.155986e-05,0.638567,3.394387,2.167543523429
-6.726439e-05,0.641981,3.394387,2.179131960647
2.991258e-05,0.640274,3.403103,2.178918370222
0.000252,0.640274,3.394387,2.173337742038
0.000335,0.638567,3.394387,2.167543523429
0.000308,0.640274,3.403103,2.178918370222
0.000391,0.638567,3.394387,2.167543523429
0.000155,0.638567,3.394387,2.167543523429
0.000516,0.641981,3.403103,2.1847274670430004
0.000446,0.641981,3.394387,2.179131960647
0.000335,0.643688,3.394387,2.184926179256
7.155986e-05,0.641981,3.394387,2.179131960647
0.000363,0.641981,3.394387,2.179131960647
0.000405,0.641981,3.394387,2.179131960647
0.000599,0.643688,3.38567,2.1793151509600004
0.000419,0.635153,3.394387,2.1559550862109997
0.000363,0.641981,3.394387,2.179131960647
0.000224,0.640274,3.403103,2.178918370222
0.000419,0.640274,3.394387,2.173337742038
0.000169,0.641981,3.394387,2.179131960647
8.544228e-05,0.638567,3.394387,2.167543523429
0.000419,0.638567,3.38567,2.1619771348900003
0.000571,0.641981,3.394387,2.179131960647
0.000502,0.641981,3.403103,2.1847274670430004
0.00021,0.640274,3.38567,2.1677564735800003
0.000321,0.641981,3.394387,2.179131960647
0.000391,0.640274,3.403103,2.178918370222
0.000238,0.638567,3.394387,2.167543523429
0.000433,0.641981,3.394387,2.179131960647
0.000183,0.638567,3.38567,2.1619771348900003
0.000155,0.641981,3.394387,2.179131960647
0.000127,0.63686,3.394387,2.16174930482
0.000502,0.641981,3.394387,2.179131960647
0.000557,0.63686,3.394387,2.16174930482
0.000433,0.638567,3.394387,2.167543523429
0.000585,0.63686,3.394387,2.16174930482
0.000127,0.641981,3.394387,2.179131960647
0.000446,0.640274,3.394387,2.173337742038
0.000127,0.638567,3.403103,2.1731092734010002
0.000433,0.645396,3.394387,2.1907237922519998
0.000488,0.635153,3.38567,2.15041845751
0.000252,0.640274,3.394387,2.173337742038
0.000557,0.641981,3.394387,2.179131960647
0.00053,0.641981,3.38567,2.1735358122700004
0.000502,0.638567,3.394387,2.167543523429
0.000294,0.641981,3.38567,2.1735358122700004
0.000252,0.638567,3.394387,2.167543523429
0.000224,0.640274,3.394387,2.173337742038
0.000433,0.641981,3.38567,2.1735358122700004
0.000571,0.641981,3.38567,2.1735358122700004
0.000308,0.640274,3.394387,2.173337742038
0.000474,0.640274,3.38567,2.1677564735800003
0.00028,0.638567,3.394387,2.167543523429
0.000252,0.638567,3.38567,2.1619771348900003
-8.114682e-05,0.640274,3.394387,2.173337742038
0.000405,0.638567,3.403103,2.1731092734010002
0.000363,0.638567,3.394387,2.167543523429
0.000197,0.640274,3.394387,2.173337742038
0.000627,0.638567,3.38567,2.1619771348900003
0.000557,0.643688,3.394387,2.184926179256
0.000308,0.640274,3.394387,2.173337742038
9.932471e-05,0.640274,3.394387,2.173337742038
0.000183,0.643688,3.38567,2.1793151509600004
0.000252,0.638567,3.38567,2.1619771348900003
