SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.685,0.017,0.011
0.303,0.685,0.016,0.011
0.306,0.685,0.017,0.012
0.309,0.685,0.016,0.011
0.312,0.685,0.015,0.010
0.315,0.685,0.015,0.010
0.318,0.685,0.015,0.010
0.321,0.685,0.015,0.010
0.324,0.685,0.015,0.010
0.327,0.685,0.015,0.010
0.330,0.685,0.016,0.011
0.333,0.684,0.015,0.010
0.336,0.685,0.015,0.011
0.339,0.685,0.015,0.010
0.342,0.685,0.016,0.011
0.345,0.684,0.015,0.010
0.348,0.684,0.015,0.010
0.351,0.684,0.015,0.010
0.354,0.684,0.017,0.012
0.357,0.684,0.015,0.011
0.360,0.684,0.015,0.011
0.363,0.684,0.016,0.011
0.366,0.684,0.015,0.010
0.369,0.684,0.015,0.010
0.372,0.684,0.015,0.010
0.375,0.684,0.016,0.011
0.378,0.684,0.015,0.010
0.381,0.684,0.016,0.011
0.384,0.684,0.015,0.010
0.387,0.684,0.015,0.010
0.390,0.684,0.015,0.011
0.393,0.684,0.015,0.010
0.396,0.684,0.016,0.011
0.399,0.684,0.016,0.011
0.402,0.684,0.015,0.010
0.405,0.684,0.015,0.010
0.408,0.683,0.015,0.010
0.411,0.684,0.015,0.010
0.414,0.684,0.016,0.011
0.417,0.683,0.015,0.010
0.420,0.683,0.016,0.011
0.423,0.683,0.018,0.013
0.426,0.683,0.018,0.012
0.429,0.683,0.015,0.010
0.432,0.683,0.015,0.010
0.435,0.683,0.015,0.010
0.438,0.683,0.016,0.011
0.441,0.683,0.017,0.011
0.444,0.683,0.015,0.010
0.447,0.683,0.016,0.011
0.450,0.683,0.016,0.011
0.450,0.683,0.015,0.010
0.447,0.683,0.015,0.010
0.444,0.683,0.015,0.010
0.441,0.683,0.016,0.011
0.438,0.683,0.015,0.011
0.435,0.683,0.015,0.010
0.432,0.683,0.015,0.010
0.429,0.683,0.016,0.011
0.426,0.683,0.015,0.010
0.423,0.683,0.018,0.012
0.420,0.683,0.016,0.011
0.417,0.683,0.015,0.010
0.414,0.683,0.016,0.011
0.411,0.683,0.016,0.011
0.408,0.683,0.017,0.011
0.405,0.683,0.017,0.011
0.402,0.683,0.015,0.010
0.399,0.683,0.016,0.011
0.396,0.683,0.015,0.010
0.393,0.683,0.015,0.011
0.390,0.683,0.016,0.011
0.387,0.683,0.015,0.010
0.384,0.683,0.016,0.011
0.381,0.683,0.018,0.012
0.378,0.683,0.015,0.011
0.375,0.682,0.015,0.010
0.372,0.682,0.015,0.010
0.369,0.683,0.016,0.011
0.366,0.682,0.016,0.011
0.363,0.682,0.015,0.010
0.360,0.683,0.016,0.011
0.357,0.683,0.016,0.011
0.354,0.683,0.015,0.010
0.351,0.682,0.016,0.011
0.348,0.683,0.015,0.010
0.345,0.682,0.016,0.011
0.342,0.682,0.015,0.010
0.339,0.682,0.017,0.011
0.336,0.682,0.015,0.010
0.333,0.682,0.018,0.013
0.330,0.682,0.015,0.010
0.327,0.682,0.015,0.010
0.324,0.682,0.015,0.010
0.321,0.682,0.016,0.011
0.318,0.682,0.015,0.010
0.315,0.682,0.015,0.010
0.312,0.682,0.015,0.010
0.309,0.682,0.015,0.010
0.306,0.682,0.015,0.010
0.303,0.682,0.019,0.013
0.300,0.682,0.015,0.010
TERMINATE SCAN MODE
