
SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.709,0.014,0.010
0.303,0.709,0.016,0.011
0.306,0.708,0.015,0.011
0.309,0.708,0.017,0.012
0.312,0.708,0.016,0.012
0.315,0.708,0.015,0.011
0.318,0.707,0.015,0.011
0.321,0.707,0.015,0.011
0.324,0.707,0.015,0.011
0.327,0.706,0.017,0.012
0.330,0.706,0.015,0.011
0.333,0.706,0.015,0.011
0.336,0.706,0.015,0.011
0.339,0.705,0.015,0.010
0.342,0.705,0.015,0.011
0.345,0.705,0.015,0.010
0.348,0.705,0.016,0.011
0.351,0.705,0.016,0.011
0.354,0.704,0.016,0.011
0.357,0.704,0.015,0.011
0.360,0.704,0.015,0.010
0.363,0.704,0.016,0.011
0.366,0.704,0.015,0.011
0.369,0.704,0.015,0.010
0.372,0.703,0.015,0.011
0.375,0.703,0.015,0.011
0.378,0.703,0.016,0.011
0.381,0.703,0.015,0.011
0.384,0.703,0.016,0.011
0.387,0.702,0.016,0.011
0.390,0.702,0.016,0.011
0.393,0.702,0.016,0.011
0.396,0.702,0.016,0.011
0.399,0.702,0.015,0.011
0.402,0.702,0.015,0.011
0.405,0.701,0.017,0.012
0.408,0.701,0.015,0.011
0.411,0.701,0.016,0.011
0.414,0.701,0.015,0.010
0.417,0.701,0.017,0.012
0.420,0.701,0.015,0.010
0.423,0.701,0.016,0.011
0.426,0.701,0.015,0.010
0.429,0.700,0.015,0.011
0.432,0.700,0.015,0.011
0.435,0.700,0.015,0.011
0.438,0.700,0.017,0.012
0.441,0.700,0.015,0.011
0.444,0.699,0.015,0.010
0.447,0.699,0.015,0.010
0.450,0.699,0.015,0.010
0.450,0.699,0.015,0.011
0.447,0.699,0.016,0.011
0.444,0.699,0.015,0.010
0.441,0.699,0.018,0.012
0.438,0.698,0.016,0.011
0.435,0.698,0.015,0.011
0.432,0.698,0.016,0.011
0.429,0.698,0.015,0.010
0.426,0.698,0.016,0.011
0.423,0.698,0.015,0.011
0.420,0.698,0.015,0.011
0.417,0.698,0.016,0.011
0.414,0.698,0.015,0.011
0.411,0.697,0.015,0.010
0.408,0.697,0.016,0.011
0.405,0.697,0.016,0.011
0.402,0.697,0.015,0.011
0.399,0.697,0.015,0.011
0.396,0.697,0.016,0.011
0.393,0.697,0.015,0.010
0.390,0.696,0.015,0.010
0.387,0.696,0.015,0.011
0.384,0.696,0.017,0.012
0.381,0.696,0.016,0.011
0.378,0.696,0.015,0.011
0.375,0.696,0.015,0.011
0.372,0.696,0.017,0.012
0.369,0.696,0.015,0.010
0.366,0.696,0.015,0.011
0.363,0.695,0.015,0.010
0.360,0.696,0.015,0.011
0.357,0.695,0.016,0.011
0.354,0.695,0.015,0.010
0.351,0.695,0.016,0.011
0.348,0.695,0.015,0.011
0.345,0.695,0.015,0.011
0.342,0.695,0.015,0.011
0.339,0.695,0.016,0.011
0.336,0.695,0.015,0.010
0.333,0.695,0.016,0.011
0.330,0.695,0.016,0.011
0.327,0.695,0.015,0.011
0.324,0.694,0.015,0.010
0.321,0.694,0.015,0.011
0.318,0.694,0.015,0.010
0.315,0.694,0.017,0.012
0.312,0.694,0.015,0.011
0.309,0.694,0.015,0.011
0.306,0.694,0.015,0.011
0.303,0.694,0.018,0.013
0.300,0.694,0.015,0.011
TERMINATE SCAN MODE
