SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.621,0.019,0.012
0.303,0.621,0.016,0.010
0.306,0.621,0.016,0.010
0.309,0.621,0.015,0.009
0.312,0.620,0.017,0.010
0.315,0.621,0.016,0.010
0.318,0.621,0.016,0.010
0.321,0.620,0.017,0.010
0.324,0.620,0.019,0.012
0.327,0.620,0.023,0.014
0.330,0.620,0.028,0.018
0.333,0.620,0.035,0.021
0.336,0.619,0.045,0.028
0.339,0.619,0.056,0.035
0.342,0.618,0.074,0.046
0.345,0.618,0.097,0.060
0.348,0.616,0.127,0.079
0.351,0.615,0.167,0.103
0.354,0.613,0.214,0.131
0.357,0.610,0.279,0.170
0.360,0.607,0.365,0.222
0.363,0.602,0.462,0.278
0.366,0.596,0.591,0.353
0.369,0.587,0.753,0.442
0.372,0.575,0.934,0.537
0.375,0.555,1.152,0.639
0.378,0.502,1.395,0.701
0.381,0.265,1.485,0.393
0.384,0.151,1.490,0.225
0.387,0.110,1.493,0.164
0.390,0.090,1.495,0.134
0.393,0.079,1.496,0.119
0.396,0.072,1.499,0.108
0.399,0.067,1.500,0.100
0.402,0.065,1.543,0.100
0.405,0.068,1.682,0.114
0.408,0.073,1.883,0.138
0.411,0.076,2.031,0.155
0.414,0.076,2.093,0.160
0.417,0.077,2.145,0.165
0.420,0.078,2.223,0.173
0.423,0.079,2.293,0.181
0.426,0.079,2.346,0.186
0.429,0.080,2.399,0.192
0.432,0.081,2.436,0.196
0.435,0.080,2.461,0.197
0.438,0.080,2.457,0.196
0.441,0.079,2.456,0.194
0.444,0.078,2.456,0.192
0.447,0.078,2.455,0.191
0.450,0.077,2.456,0.190
0.450,0.078,2.452,0.190
0.447,0.078,2.450,0.190
0.444,0.078,2.451,0.192
0.441,0.079,2.444,0.192
0.438,0.079,2.437,0.193
0.435,0.080,2.439,0.195
0.432,0.081,2.439,0.197
0.429,0.081,2.437,0.198
0.426,0.083,2.434,0.201
0.423,0.084,2.437,0.204
0.420,0.086,2.434,0.208
0.417,0.087,2.427,0.211
0.414,0.090,2.423,0.217
0.411,0.092,2.423,0.224
0.408,0.097,2.420,0.234
0.405,0.102,2.425,0.247
0.402,0.109,2.423,0.263
0.399,0.120,2.422,0.290
0.396,0.136,2.419,0.330
0.393,0.168,2.421,0.406
0.390,0.241,2.418,0.582
0.387,0.445,2.382,1.060
0.384,0.538,2.087,1.124
0.381,0.567,1.757,0.997
0.378,0.585,1.433,0.839
0.375,0.597,1.169,0.698
0.372,0.606,0.950,0.575
0.369,0.612,0.763,0.467
0.366,0.618,0.596,0.368
0.363,0.622,0.470,0.292
0.360,0.625,0.369,0.231
0.357,0.627,0.283,0.178
0.354,0.629,0.216,0.136
0.351,0.631,0.168,0.106
0.348,0.632,0.130,0.082
0.345,0.633,0.101,0.064
0.342,0.633,0.077,0.049
0.339,0.634,0.058,0.037
0.336,0.634,0.043,0.027
0.333,0.634,0.035,0.022
0.330,0.634,0.030,0.019
0.327,0.635,0.024,0.015
0.324,0.635,0.020,0.013
0.321,0.635,0.017,0.011
0.318,0.635,0.015,0.010
0.315,0.635,0.015,0.010
0.312,0.635,0.015,0.010
0.309,0.635,0.017,0.011
0.306,0.635,0.016,0.010
0.303,0.635,0.016,0.010
0.300,0.635,0.015,0.010
TERMINATE SCAN MODE
