SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.589,0.054,0.032
0.303,0.562,0.015,0.008
0.306,0.552,0.016,0.009
0.309,0.542,0.015,0.008
0.312,0.548,0.017,0.009
0.315,0.549,0.017,0.009
0.318,0.549,0.018,0.010
0.321,0.544,0.020,0.011
0.324,0.543,0.023,0.012
0.327,0.544,0.026,0.014
0.330,0.541,0.030,0.016
0.333,0.540,0.041,0.022
0.336,0.541,0.055,0.030
0.339,0.548,0.074,0.041
0.342,0.562,0.103,0.058
0.345,0.555,0.137,0.076
0.348,0.555,0.181,0.100
0.351,0.557,0.223,0.124
0.354,0.531,0.278,0.147
0.357,0.538,0.317,0.171
0.360,0.523,0.426,0.223
0.363,0.493,0.542,0.267
0.366,0.491,0.703,0.345
0.369,0.466,0.916,0.427
0.372,0.405,1.230,0.498
0.375,0.385,1.385,0.533
0.378,0.408,1.726,0.704
0.381,0.336,1.988,0.668
0.384,0.260,2.068,0.538
0.387,0.199,2.095,0.416
0.390,0.137,2.192,0.301
0.393,0.115,2.231,0.256
0.396,0.101,2.251,0.228
0.399,0.091,2.267,0.207
0.402,0.084,2.275,0.192
0.405,0.081,2.274,0.184
0.408,0.079,2.283,0.179
0.411,0.076,2.285,0.173
0.414,0.075,2.290,0.171
0.417,0.073,2.294,0.167
0.420,0.071,2.294,0.163
0.423,0.069,2.290,0.159
0.426,0.068,2.288,0.156
0.429,0.067,2.285,0.153
0.432,0.066,2.286,0.152
0.435,0.066,2.291,0.151
0.438,0.065,2.296,0.150
0.441,0.065,2.292,0.149
0.444,0.065,2.288,0.148
0.447,0.064,2.295,0.148
0.450,0.064,2.297,0.148
0.450,0.064,2.290,0.148
0.447,0.066,2.288,0.151
0.444,0.068,2.285,0.154
0.441,0.070,2.284,0.159
0.438,0.072,2.283,0.164
0.435,0.074,2.281,0.168
0.432,0.076,2.281,0.174
0.429,0.080,2.281,0.183
0.426,0.083,2.281,0.190
0.423,0.088,2.285,0.201
0.420,0.094,2.273,0.215
0.417,0.100,2.266,0.227
0.414,0.110,2.241,0.246
0.411,0.129,2.205,0.285
0.408,0.174,2.131,0.372
0.405,0.225,2.022,0.455
0.402,0.310,1.793,0.557
0.399,0.389,1.556,0.605
0.396,0.425,1.374,0.584
0.393,0.444,1.136,0.504
0.390,0.463,0.922,0.427
0.387,0.460,0.771,0.355
0.384,0.470,0.585,0.275
0.381,0.483,0.463,0.223
0.378,0.492,0.332,0.163
0.375,0.503,0.244,0.123
0.372,0.510,0.176,0.090
0.369,0.518,0.150,0.078
0.366,0.509,0.116,0.059
0.363,0.506,0.088,0.044
0.360,0.507,0.073,0.037
0.357,0.508,0.056,0.029
0.354,0.511,0.046,0.023
0.351,0.511,0.035,0.018
0.348,0.511,0.031,0.016
0.345,0.512,0.022,0.011
0.342,0.513,0.020,0.010
0.339,0.512,0.016,0.008
0.336,0.513,0.016,0.008
0.333,0.513,0.017,0.009
0.330,0.510,0.015,0.008
0.327,0.509,0.017,0.009
0.324,0.508,0.015,0.008
0.321,0.507,0.017,0.009
0.318,0.506,0.015,0.007
0.315,0.505,0.015,0.008
0.312,0.505,0.015,0.008
0.309,0.505,0.015,0.008
0.306,0.506,0.015,0.008
0.303,0.506,0.017,0.009
0.300,0.506,0.015,0.007
TERMINATE SCAN MODE
