SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.671,0.016,0.011
0.303,0.671,0.015,0.010
0.306,0.671,0.016,0.011
0.309,0.671,0.015,0.010
0.312,0.671,0.015,0.010
0.315,0.671,0.015,0.010
0.318,0.671,0.015,0.010
0.321,0.670,0.017,0.011
0.324,0.670,0.020,0.014
0.327,0.670,0.024,0.016
0.330,0.669,0.031,0.021
0.333,0.670,0.040,0.027
0.336,0.669,0.048,0.032
0.339,0.668,0.063,0.042
0.342,0.667,0.080,0.054
0.345,0.666,0.105,0.070
0.348,0.665,0.138,0.092
0.351,0.663,0.178,0.118
0.354,0.661,0.234,0.155
0.357,0.658,0.303,0.199
0.360,0.654,0.396,0.259
0.363,0.649,0.504,0.327
0.366,0.643,0.647,0.416
0.369,0.634,0.831,0.527
0.372,0.623,1.040,0.648
0.375,0.608,1.279,0.777
0.378,0.587,1.582,0.928
0.381,0.552,1.946,1.075
0.384,0.495,2.299,1.139
0.387,0.337,2.503,0.843
0.390,0.194,2.510,0.487
0.393,0.146,2.512,0.366
0.396,0.122,2.516,0.307
0.399,0.109,2.513,0.273
0.402,0.099,2.516,0.249
0.405,0.093,2.518,0.235
0.408,0.089,2.516,0.223
0.411,0.085,2.517,0.214
0.414,0.082,2.514,0.206
0.417,0.080,2.517,0.201
0.420,0.078,2.519,0.197
0.423,0.076,2.513,0.192
0.426,0.075,2.518,0.190
0.429,0.074,2.520,0.187
0.432,0.073,2.515,0.184
0.435,0.072,2.516,0.182
0.438,0.072,2.514,0.180
0.441,0.071,2.514,0.179
0.444,0.071,2.515,0.178
0.447,0.070,2.513,0.176
0.450,0.070,2.513,0.176
0.450,0.070,2.512,0.175
0.447,0.070,2.514,0.176
0.444,0.071,2.513,0.178
0.441,0.071,2.511,0.178
0.438,0.072,2.516,0.181
0.435,0.072,2.513,0.182
0.432,0.073,2.512,0.184
0.429,0.074,2.514,0.186
0.426,0.075,2.512,0.189
0.423,0.077,2.514,0.192
0.420,0.078,2.517,0.197
0.417,0.080,2.512,0.201
0.414,0.082,2.515,0.207
0.411,0.085,2.512,0.214
0.408,0.089,2.517,0.224
0.405,0.094,2.516,0.236
0.402,0.100,2.512,0.251
0.399,0.110,2.516,0.276
0.396,0.124,2.515,0.312
0.393,0.149,2.513,0.376
0.390,0.204,2.511,0.513
0.387,0.359,2.496,0.896
0.384,0.501,2.268,1.136
0.381,0.553,1.919,1.062
0.378,0.586,1.568,0.918
0.375,0.607,1.268,0.769
0.372,0.621,1.035,0.642
0.369,0.632,0.828,0.523
0.366,0.641,0.641,0.410
0.363,0.647,0.506,0.327
0.360,0.652,0.399,0.260
0.357,0.656,0.304,0.199
0.354,0.659,0.235,0.155
0.351,0.661,0.182,0.120
0.348,0.662,0.139,0.092
0.345,0.664,0.105,0.070
0.342,0.664,0.081,0.054
0.339,0.665,0.062,0.041
0.336,0.666,0.048,0.032
0.333,0.666,0.037,0.025
0.330,0.667,0.029,0.019
0.327,0.667,0.025,0.017
0.324,0.667,0.020,0.013
0.321,0.667,0.018,0.012
0.318,0.667,0.016,0.011
0.315,0.667,0.017,0.012
0.312,0.667,0.015,0.010
0.309,0.667,0.016,0.010
0.306,0.667,0.015,0.010
0.303,0.667,0.016,0.010
0.300,0.667,0.015,0.010
TERMINATE SCAN MODE
