SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.676,0.016,0.011
0.303,0.675,0.015,0.010
0.306,0.675,0.018,0.012
0.309,0.675,0.016,0.011
0.312,0.675,0.016,0.010
0.315,0.675,0.014,0.010
0.318,0.675,0.015,0.010
0.321,0.675,0.018,0.012
0.324,0.674,0.021,0.014
0.327,0.674,0.026,0.017
0.330,0.674,0.031,0.021
0.333,0.673,0.039,0.026
0.336,0.673,0.050,0.033
0.339,0.672,0.065,0.044
0.342,0.672,0.085,0.057
0.345,0.671,0.109,0.073
0.348,0.670,0.147,0.098
0.351,0.668,0.190,0.127
0.354,0.666,0.248,0.165
0.357,0.664,0.320,0.212
0.360,0.661,0.417,0.276
0.363,0.657,0.532,0.350
0.366,0.652,0.675,0.440
0.369,0.644,0.869,0.560
0.372,0.636,1.084,0.689
0.375,0.625,1.341,0.837
0.378,0.608,1.656,1.008
0.381,0.582,2.038,1.186
0.384,0.536,2.426,1.300
0.387,0.354,2.636,0.934
0.390,0.201,2.638,0.530
0.393,0.150,2.640,0.397
0.396,0.126,2.635,0.332
0.399,0.112,2.638,0.296
0.402,0.103,2.640,0.271
0.405,0.096,2.635,0.253
0.408,0.091,2.637,0.241
0.411,0.088,2.635,0.231
0.414,0.085,2.636,0.224
0.417,0.083,2.636,0.218
0.420,0.080,2.631,0.212
0.423,0.079,2.634,0.208
0.426,0.078,2.633,0.205
0.429,0.076,2.635,0.201
0.432,0.076,2.637,0.200
0.435,0.075,2.637,0.197
0.438,0.074,2.633,0.195
0.441,0.073,2.635,0.193
0.444,0.073,2.630,0.191
0.447,0.072,2.632,0.190
0.450,0.072,2.629,0.189
0.450,0.072,2.630,0.190
0.447,0.072,2.632,0.190
0.444,0.073,2.629,0.192
0.441,0.073,2.632,0.193
0.438,0.074,2.632,0.195
0.435,0.075,2.631,0.197
0.432,0.076,2.632,0.199
0.429,0.077,2.632,0.201
0.426,0.078,2.633,0.204
0.423,0.079,2.636,0.208
0.420,0.081,2.630,0.212
0.417,0.082,2.634,0.217
0.414,0.085,2.632,0.223
0.411,0.088,2.631,0.230
0.408,0.092,2.633,0.241
0.405,0.096,2.628,0.253
0.402,0.103,2.631,0.270
0.399,0.113,2.631,0.297
0.396,0.127,2.628,0.334
0.393,0.153,2.630,0.403
0.390,0.209,2.630,0.550
0.387,0.380,2.629,0.999
0.384,0.539,2.392,1.289
0.381,0.581,2.019,1.174
0.378,0.606,1.637,0.993
0.375,0.622,1.336,0.831
0.372,0.633,1.084,0.686
0.369,0.642,0.876,0.562
0.366,0.649,0.681,0.442
0.363,0.654,0.536,0.351
0.360,0.658,0.420,0.276
0.357,0.661,0.320,0.211
0.354,0.663,0.248,0.165
0.351,0.665,0.192,0.128
0.348,0.666,0.146,0.097
0.345,0.667,0.111,0.074
0.342,0.668,0.085,0.057
0.339,0.669,0.067,0.045
0.336,0.669,0.052,0.035
0.333,0.670,0.039,0.026
0.330,0.670,0.033,0.022
0.327,0.670,0.027,0.018
0.324,0.670,0.021,0.014
0.321,0.670,0.018,0.012
0.318,0.670,0.016,0.011
0.315,0.670,0.016,0.011
0.312,0.670,0.015,0.010
0.309,0.670,0.016,0.011
0.306,0.670,0.016,0.011
0.303,0.670,0.015,0.010
0.300,0.671,0.016,0.011
TERMINATE SCAN MODE
