SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.645,0.015,0.010
0.303,0.644,0.015,0.010
0.306,0.644,0.015,0.009
0.309,0.644,0.015,0.010
0.312,0.644,0.015,0.010
0.315,0.644,0.015,0.010
0.318,0.643,0.015,0.010
0.321,0.643,0.017,0.011
0.324,0.643,0.021,0.014
0.327,0.642,0.025,0.016
0.330,0.642,0.031,0.020
0.333,0.641,0.037,0.024
0.336,0.641,0.051,0.033
0.339,0.640,0.062,0.040
0.342,0.639,0.081,0.052
0.345,0.638,0.107,0.068
0.348,0.637,0.143,0.091
0.351,0.635,0.183,0.116
0.354,0.633,0.237,0.150
0.357,0.630,0.306,0.193
0.360,0.626,0.402,0.252
0.363,0.622,0.519,0.323
0.366,0.617,0.651,0.402
0.369,0.609,0.835,0.509
0.372,0.599,1.051,0.630
0.375,0.589,1.281,0.754
0.378,0.571,1.591,0.909
0.381,0.545,1.941,1.057
0.384,0.496,2.268,1.126
0.387,0.334,2.476,0.827
0.390,0.194,2.475,0.479
0.393,0.146,2.477,0.361
0.396,0.123,2.479,0.304
0.399,0.109,2.480,0.271
0.402,0.101,2.478,0.250
0.405,0.094,2.477,0.234
0.408,0.090,2.481,0.224
0.411,0.086,2.481,0.214
0.414,0.084,2.476,0.207
0.417,0.081,2.480,0.202
0.420,0.080,2.473,0.197
0.423,0.078,2.478,0.193
0.426,0.077,2.479,0.190
0.429,0.076,2.474,0.187
0.432,0.075,2.477,0.186
0.435,0.074,2.480,0.184
0.438,0.073,2.475,0.182
0.441,0.073,2.479,0.181
0.444,0.072,2.478,0.179
0.447,0.072,2.481,0.178
0.450,0.072,2.481,0.178
0.450,0.072,2.478,0.177
0.447,0.072,2.480,0.179
0.444,0.072,2.476,0.179
0.441,0.073,2.476,0.181
0.438,0.074,2.478,0.182
0.435,0.074,2.471,0.183
0.432,0.075,2.475,0.186
0.429,0.076,2.472,0.188
0.426,0.077,2.474,0.190
0.423,0.078,2.476,0.194
0.420,0.080,2.473,0.198
0.417,0.082,2.478,0.203
0.414,0.084,2.479,0.209
0.411,0.087,2.477,0.216
0.408,0.091,2.479,0.226
0.405,0.096,2.475,0.237
0.402,0.103,2.472,0.254
0.399,0.113,2.477,0.281
0.396,0.128,2.471,0.316
0.393,0.157,2.472,0.388
0.390,0.221,2.473,0.547
0.387,0.377,2.452,0.924
0.384,0.510,2.189,1.116
0.381,0.546,1.848,1.008
0.378,0.569,1.493,0.850
0.375,0.584,1.212,0.708
0.372,0.594,0.997,0.592
0.369,0.602,0.797,0.479
0.366,0.609,0.622,0.379
0.363,0.613,0.491,0.301
0.360,0.617,0.393,0.242
0.357,0.620,0.293,0.182
0.354,0.623,0.231,0.144
0.351,0.624,0.176,0.110
0.348,0.626,0.136,0.085
0.345,0.627,0.100,0.063
0.342,0.627,0.078,0.049
0.339,0.628,0.060,0.038
0.336,0.628,0.047,0.029
0.333,0.628,0.036,0.023
0.330,0.628,0.029,0.018
0.327,0.629,0.024,0.015
0.324,0.628,0.020,0.012
0.321,0.629,0.017,0.011
0.318,0.628,0.015,0.009
0.315,0.628,0.016,0.010
0.312,0.628,0.015,0.010
0.309,0.628,0.016,0.010
0.306,0.628,0.015,0.009
0.303,0.628,0.017,0.011
0.300,0.628,0.017,0.011
TERMINATE SCAN MODE
