SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.687,0.015,0.010
0.303,0.687,0.017,0.012
0.306,0.687,0.015,0.010
0.309,0.687,0.015,0.010
0.312,0.687,0.016,0.011
0.315,0.687,0.017,0.012
0.318,0.686,0.016,0.011
0.321,0.686,0.018,0.012
0.324,0.686,0.020,0.014
0.327,0.685,0.026,0.018
0.330,0.685,0.031,0.022
0.333,0.685,0.041,0.028
0.336,0.684,0.049,0.034
0.339,0.684,0.065,0.044
0.342,0.683,0.085,0.058
0.345,0.682,0.105,0.072
0.348,0.681,0.145,0.098
0.351,0.680,0.188,0.128
0.354,0.678,0.241,0.163
0.357,0.676,0.313,0.212
0.360,0.673,0.412,0.277
0.363,0.670,0.527,0.353
0.366,0.665,0.666,0.443
0.369,0.659,0.857,0.564
0.372,0.651,1.068,0.696
0.375,0.640,1.321,0.846
0.378,0.625,1.636,1.022
0.381,0.598,2.013,1.203
0.384,0.541,2.387,1.291
0.387,0.329,2.536,0.833
0.390,0.191,2.540,0.485
0.393,0.145,2.544,0.369
0.396,0.123,2.544,0.312
0.399,0.109,2.543,0.278
0.402,0.100,2.544,0.255
0.405,0.094,2.541,0.239
0.408,0.090,2.544,0.228
0.411,0.086,2.545,0.219
0.414,0.083,2.539,0.211
0.417,0.081,2.545,0.206
0.420,0.079,2.543,0.201
0.423,0.078,2.544,0.198
0.426,0.076,2.543,0.194
0.429,0.075,2.543,0.191
0.432,0.075,2.545,0.190
0.435,0.073,2.542,0.187
0.438,0.073,2.537,0.185
0.441,0.072,2.540,0.183
0.444,0.072,2.539,0.182
0.447,0.071,2.540,0.181
0.450,0.071,2.543,0.180
0.450,0.071,2.537,0.179
0.447,0.071,2.542,0.181
0.444,0.072,2.543,0.183
0.441,0.072,2.541,0.183
0.438,0.073,2.544,0.186
0.435,0.074,2.542,0.187
0.432,0.074,2.549,0.190
0.429,0.076,2.549,0.193
0.426,0.076,2.542,0.194
0.423,0.078,2.545,0.198
0.420,0.079,2.545,0.202
0.417,0.081,2.544,0.206
0.414,0.083,2.546,0.212
0.411,0.086,2.540,0.218
0.408,0.090,2.543,0.229
0.405,0.095,2.542,0.240
0.402,0.101,2.539,0.255
0.399,0.110,2.540,0.279
0.396,0.124,2.543,0.315
0.393,0.148,2.540,0.375
0.390,0.198,2.541,0.504
0.387,0.352,2.534,0.891
0.384,0.545,2.356,1.284
0.381,0.595,1.987,1.183
0.378,0.621,1.621,1.007
0.375,0.636,1.320,0.839
0.372,0.646,1.073,0.694
0.369,0.654,0.860,0.562
0.366,0.660,0.671,0.443
0.363,0.665,0.530,0.352
0.360,0.668,0.416,0.278
0.357,0.671,0.316,0.212
0.354,0.673,0.245,0.165
0.351,0.674,0.187,0.126
0.348,0.675,0.147,0.100
0.345,0.676,0.110,0.074
0.342,0.676,0.084,0.057
0.339,0.677,0.065,0.044
0.336,0.677,0.050,0.034
0.333,0.678,0.038,0.026
0.330,0.678,0.031,0.021
0.327,0.678,0.026,0.017
0.324,0.678,0.021,0.014
0.321,0.678,0.018,0.012
0.318,0.678,0.016,0.011
0.315,0.678,0.016,0.011
0.312,0.678,0.015,0.010
0.309,0.678,0.016,0.011
0.306,0.678,0.015,0.010
0.303,0.678,0.016,0.011
0.300,0.678,0.016,0.011
TERMINATE SCAN MODE
