SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
3.394387,0.641981,0.0782,0.050202914200000004
3.403103,0.63686,0.0726,0.046236035999999994
3.403103,0.640274,0.0782,0.050069426800000004
3.394387,0.640274,0.0226,0.0144701924
3.403103,0.640274,0.1088,0.06966181119999999
3.394387,0.640274,0.0642,0.041105590799999994
3.394387,0.638567,0.0616,0.039335727200000004
3.403103,0.641981,0.0254,0.0163063174
3.394387,0.638567,0.0838,0.0535119146
3.394387,0.640274,0.1698,0.1087185252
3.394387,0.641981,0.1198,0.0769093238
3.394387,0.640274,0.055999999999999994,0.035855344
3.394387,0.638567,0.0866,0.0552999022
3.403103,0.63686,0.0504,0.032097744
3.394387,0.638567,0.0254,0.0162196018
3.38567,0.640274,0.0782,0.050069426800000004
3.394387,0.640274,-0.013452878,-0.008613528008572
3.394387,0.640274,0.0698,0.0446911252
3.38567,0.640274,0.0366,0.0234340284
3.394387,0.638567,0.106,0.067688102
3.403103,0.63686,0.08099999999999999,0.05158565999999999
3.394387,0.641981,0.0226,0.0145087706
3.394387,0.641981,0.0726,0.0466078206
3.403103,0.641981,0.0616,0.039546029600000004
3.403103,0.638567,0.092,0.058748164
3.394387,0.640274,0.0032060319999999997,0.0020527389327679997
3.394387,0.640274,0.0838,0.053654961200000004
3.38567,0.638567,0.15039999999999998,0.09604047679999998
3.394387,0.638567,0.10039999999999999,0.06411212679999999
3.394387,0.638567,0.067,0.042783989
3.411819,0.640274,0.08099999999999999,0.05186219399999999
3.394387,0.640274,0.0338,0.021641261199999998
3.403103,0.640274,0.106,0.067869044
3.403103,0.641981,0.0394,0.0252940514
3.403103,0.640274,0.10039999999999999,0.0642835096
3.394387,0.641981,0.0892,0.0572647052
3.38567,0.638567,0.0948,0.0605361516
3.394387,0.638567,0.0616,0.039335727200000004
3.394387,0.640274,0.09759999999999999,0.06249074239999999
3.394387,0.641981,0.014311972000000001,0.009188014096532
3.394387,0.640274,0.0838,0.053654961200000004
3.403103,0.641981,0.0254,0.0163063174
3.403103,0.640274,0.0448,0.0286842752
3.394387,0.638567,0.1364,0.0871005388
3.394387,0.641981,0.055999999999999994,0.035950935999999996
3.403103,0.640274,0.12539999999999998,0.08029035959999999
3.403103,0.641981,0.0948,0.060859798799999996
3.403103,0.640274,0.019864942,0.012719005874108
3.394387,0.640274,0.0394,0.025226795599999997
3.394387,0.638567,0.014311972000000001,0.009139153024124
3.394387,0.641981,-0.013452878,-0.008636492071318001
3.403103,0.640274,0.005982516,0.003830449449384
3.394387,0.640274,0.0504,0.0322698096
3.394387,0.638567,0.067,0.042783989
3.403103,0.640274,0.0616,0.039440878400000004
3.394387,0.638567,0.0782,0.049935939400000004
3.394387,0.638567,0.031,0.019795576999999998
3.403103,0.641981,0.10319999999999999,0.0662524392
3.394387,0.641981,0.0892,0.0572647052
3.394387,0.643688,0.067,0.043127096000000004
3.394387,0.641981,0.014311972000000001,0.009188014096532
3.394387,0.641981,0.0726,0.0466078206
3.394387,0.641981,0.08099999999999999,0.052000461
3.38567,0.643688,0.1198,0.0771138224
3.394387,0.635153,0.0838,0.0532258214
3.394387,0.641981,0.0726,0.0466078206
3.403103,0.640274,0.0448,0.0286842752
3.394387,0.640274,0.0838,0.053654961200000004
3.394387,0.641981,0.0338,0.021698957799999998
3.394387,0.638567,0.017088456000000002,0.010912124082552
3.38567,0.638567,0.0838,0.0535119146
3.394387,0.641981,0.1142,0.0733142302
3.403103,0.641981,0.10039999999999999,0.06445489239999999
3.38567,0.640274,0.042,0.026891508
3.394387,0.641981,0.0642,0.0412151802
3.403103,0.640274,0.0782,0.050069426800000004
3.394387,0.638567,0.0476,0.030395789200000002
3.394387,0.641981,0.0866,0.0555955546
3.38567,0.638567,0.0366,0.0233715522
3.394387,0.641981,0.031,0.019901411
3.394387,0.63686,0.0254,0.016176244
3.394387,0.641981,0.10039999999999999,0.06445489239999999
3.394387,0.63686,0.1114,0.070946204
3.394387,0.638567,0.0866,0.0552999022
3.394387,0.63686,0.117,0.07451262
3.394387,0.641981,0.0254,0.0163063174
3.394387,0.640274,0.0892,0.057112440800000004
3.403103,0.638567,0.0254,0.0162196018
3.394387,0.645396,0.0866,0.055891293599999996
3.38567,0.635153,0.09759999999999999,0.061990932799999995
3.394387,0.640274,0.0504,0.0322698096
3.394387,0.641981,0.1114,0.0715166834
3.38567,0.641981,0.106,0.068049986
3.394387,0.638567,0.10039999999999999,0.06411212679999999
3.38567,0.641981,0.0588,0.037748482800000004
3.394387,0.638567,0.0504,0.0321837768
3.394387,0.640274,0.0448,0.0286842752
3.38567,0.641981,0.0866,0.0555955546
3.38567,0.641981,0.1142,0.0733142302
3.394387,0.640274,0.0616,0.039440878400000004
3.38567,0.640274,0.0948,0.0606979752
3.394387,0.638567,0.055999999999999994,0.035759752
3.38567,0.638567,0.0504,0.0321837768
