SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.605,0.079,0.048
0.303,0.658,0.015,0.010
0.306,0.658,0.015,0.010
0.309,0.660,0.019,0.012
0.312,0.657,0.020,0.013
0.315,0.657,0.031,0.020
0.318,0.657,0.044,0.029
0.321,0.657,0.056,0.036
0.324,0.658,0.082,0.054
0.327,0.656,0.100,0.066
0.330,0.655,0.106,0.070
0.333,0.651,0.146,0.095
0.336,0.646,0.196,0.127
0.339,0.632,0.296,0.187
0.342,0.603,0.451,0.272
0.345,0.522,0.614,0.320
0.348,0.319,0.693,0.221
0.351,0.156,0.706,0.110
0.354,0.114,0.709,0.081
0.357,0.115,0.710,0.081
0.360,0.065,0.712,0.047
0.363,0.054,0.713,0.039
0.366,0.045,0.711,0.032
0.369,0.038,0.713,0.027
0.372,0.032,0.712,0.023
0.375,0.030,0.714,0.022
0.378,0.028,0.714,0.020
0.381,0.027,0.714,0.020
0.384,0.027,0.714,0.019
0.387,0.027,0.714,0.019
0.390,0.026,0.715,0.019
0.393,0.025,0.714,0.018
0.396,0.025,0.716,0.018
0.399,0.024,0.716,0.018
0.402,0.024,0.715,0.017
0.405,0.024,0.716,0.017
0.408,0.024,0.716,0.017
0.411,0.023,0.717,0.017
0.414,0.023,0.716,0.017
0.417,0.023,0.712,0.017
0.420,0.023,0.716,0.017
0.423,0.023,0.718,0.017
0.426,0.023,0.717,0.016
0.429,0.023,0.719,0.016
0.432,0.023,0.719,0.016
0.435,0.023,0.719,0.016
0.438,0.023,0.720,0.016
0.441,0.023,0.719,0.016
0.444,0.023,0.719,0.016
0.447,0.023,0.719,0.016
0.450,0.023,0.720,0.016
0.450,0.023,0.718,0.016
0.447,0.023,0.717,0.016
0.444,0.023,0.719,0.017
0.441,0.024,0.719,0.017
0.438,0.025,0.719,0.018
0.435,0.027,0.720,0.020
0.432,0.034,0.718,0.025
0.429,0.078,0.719,0.056
0.426,0.510,0.639,0.326
0.423,0.651,0.242,0.158
0.420,0.665,0.077,0.051
0.417,0.669,0.031,0.021
0.414,0.670,0.016,0.011
0.411,0.670,0.016,0.011
0.408,0.670,0.017,0.011
0.405,0.670,0.015,0.010
0.402,0.670,0.015,0.010
0.399,0.670,0.016,0.010
0.396,0.670,0.015,0.010
0.393,0.670,0.015,0.010
0.390,0.670,0.015,0.010
0.387,0.670,0.016,0.010
0.384,0.670,0.016,0.010
0.381,0.670,0.016,0.011
0.378,0.670,0.016,0.011
0.375,0.670,0.017,0.011
0.372,0.670,0.016,0.010
0.369,0.670,0.015,0.010
0.366,0.670,0.015,0.010
0.363,0.670,0.015,0.010
0.360,0.670,0.015,0.010
0.357,0.670,0.015,0.010
0.354,0.670,0.015,0.010
0.351,0.670,0.016,0.011
0.348,0.670,0.016,0.011
0.345,0.670,0.015,0.010
0.342,0.669,0.017,0.011
0.339,0.669,0.015,0.010
0.336,0.670,0.015,0.010
0.333,0.670,0.015,0.010
0.330,0.670,0.015,0.010
0.327,0.669,0.015,0.010
0.324,0.670,0.015,0.010
0.321,0.670,0.015,0.010
0.318,0.669,0.016,0.010
0.315,0.669,0.015,0.010
0.312,0.669,0.015,0.010
0.309,0.669,0.015,0.010
0.306,0.669,0.015,0.010
0.303,0.669,0.016,0.010
0.300,0.669,0.015,0.010
TERMINATE SCAN MODE
