SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.578,0.032,0.019
0.303,0.441,0.020,0.009
0.306,0.658,0.031,0.021
0.309,0.657,0.034,0.023
0.312,0.648,0.046,0.030
0.315,0.626,0.063,0.040
0.318,0.604,0.082,0.049
0.321,0.583,0.097,0.057
0.324,0.549,0.131,0.072
0.327,0.534,0.154,0.082
0.330,0.514,0.174,0.089
0.333,0.478,0.208,0.100
0.336,0.436,0.250,0.109
0.339,0.379,0.317,0.120
0.342,0.276,0.438,0.121
0.345,0.231,0.492,0.113
0.348,0.178,0.569,0.101
0.351,0.153,0.635,0.097
0.354,0.125,0.704,0.088
0.357,0.116,0.746,0.087
0.360,0.081,0.803,0.065
0.363,0.072,0.834,0.060
0.366,0.061,0.875,0.053
0.369,0.052,0.908,0.047
0.372,0.044,0.924,0.041
0.375,0.043,0.961,0.042
0.378,0.040,0.969,0.039
0.381,0.039,0.985,0.038
0.384,0.037,0.982,0.037
0.387,0.038,0.998,0.037
0.390,0.037,1.016,0.037
0.393,0.036,1.028,0.037
0.396,0.035,1.036,0.036
0.399,0.034,1.039,0.036
0.402,0.034,1.045,0.035
0.405,0.034,1.052,0.035
0.408,0.033,1.063,0.036
0.411,0.033,1.073,0.036
0.414,0.034,1.085,0.037
0.417,0.034,1.092,0.037
0.420,0.033,1.089,0.036
0.423,0.033,1.080,0.036
0.426,0.033,1.085,0.036
0.429,0.033,1.092,0.036
0.432,0.033,1.101,0.036
0.435,0.032,1.089,0.035
0.438,0.032,1.089,0.035
0.441,0.033,1.106,0.036
0.444,0.033,1.105,0.036
0.447,0.032,1.099,0.036
0.450,0.032,1.083,0.035
0.450,0.032,1.100,0.036
0.447,0.033,1.111,0.037
0.444,0.034,1.105,0.038
0.441,0.036,1.099,0.040
0.438,0.040,1.097,0.044
0.435,0.048,1.083,0.052
0.432,0.089,1.024,0.091
0.429,0.217,0.617,0.134
0.426,0.414,0.312,0.129
0.423,0.565,0.138,0.078
0.420,0.641,0.052,0.033
0.417,0.663,0.031,0.021
0.414,0.676,0.017,0.011
0.411,0.680,0.015,0.011
0.408,0.682,0.015,0.010
0.405,0.683,0.015,0.011
0.402,0.683,0.015,0.011
0.399,0.683,0.015,0.010
0.396,0.683,0.015,0.010
0.393,0.683,0.015,0.010
0.390,0.683,0.016,0.011
0.387,0.683,0.017,0.012
0.384,0.683,0.015,0.010
0.381,0.683,0.016,0.011
0.378,0.682,0.015,0.010
0.375,0.682,0.015,0.010
0.372,0.682,0.015,0.010
0.369,0.682,0.015,0.010
0.366,0.682,0.015,0.010
0.363,0.682,0.016,0.011
0.360,0.682,0.015,0.010
0.357,0.682,0.016,0.011
0.354,0.682,0.015,0.010
0.351,0.682,0.016,0.011
0.348,0.682,0.020,0.013
0.345,0.682,0.015,0.010
0.342,0.682,0.016,0.011
0.339,0.682,0.015,0.010
0.336,0.682,0.016,0.011
0.333,0.682,0.015,0.010
0.330,0.682,0.015,0.010
0.327,0.682,0.016,0.011
0.324,0.682,0.015,0.010
0.321,0.682,0.015,0.010
0.318,0.682,0.015,0.010
0.315,0.681,0.016,0.011
0.312,0.681,0.015,0.010
0.309,0.681,0.015,0.010
0.306,0.681,0.016,0.011
0.303,0.681,0.015,0.010
0.300,0.681,0.015,0.010
TERMINATE SCAN MODE
