SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
3.403103,0.641981,0.0782,0.050202914200000004
3.403103,0.63686,0.1142,0.072729412
3.403103,0.63686,0.0394,0.025092284
3.403103,0.638567,0.0754,0.0481479518
3.394387,0.638567,0.0616,0.039335727200000004
3.411819,0.638567,0.0838,0.0535119146
3.411819,0.63686,0.0838,0.053368868
3.403103,0.641981,0.055999999999999994,0.035950935999999996
3.394387,0.635153,0.10319999999999999,0.06554778959999999
3.394387,0.635153,-0.0023469380000000002,-0.0014906647115140001
3.394387,0.638567,0.0616,0.039335727200000004
3.403103,0.638567,0.0616,0.039335727200000004
3.403103,0.640274,0.0754,0.0482766596
3.403103,0.638567,0.08099999999999999,0.05172392699999999
3.411819,0.638567,0.0838,0.0535119146
3.403103,0.638567,0.106,0.067688102
3.403103,0.638567,0.0866,0.0552999022
3.403103,0.638567,0.0726,0.0463599642
3.403103,0.638567,0.0838,0.0535119146
3.403103,0.638567,0.0366,0.0233715522
3.394387,0.638567,0.0588,0.0375477396
3.394387,0.640274,0.0754,0.0482766596
3.394387,0.640274,0.0948,0.0606979752
3.394387,0.63686,0.12260000000000001,0.078079036
3.403103,0.63686,0.1198,0.076295828
3.394387,0.635153,0.0948,0.06021250439999999
3.403103,0.638567,0.0698,0.0445719766
3.403103,0.640274,0.055999999999999994,0.035855344
3.403103,0.638567,0.055999999999999994,0.035759752
3.403103,0.638567,0.1338,0.0854402646
3.394387,0.638567,0.0698,0.0445719766
3.403103,0.640274,0.0394,0.025226795599999997
3.403103,0.635153,0.0394,0.025025028199999997
3.403103,0.63686,0.0754,0.048019243999999996
3.411819,0.638567,0.0226,0.0144316142
3.403103,0.638567,0.1088,0.0694760896
3.411819,0.640274,0.0698,0.0446911252
3.403103,0.63686,0.131,0.08342866
3.403103,0.640274,0.0588,0.0376481112
3.394387,0.638567,0.0754,0.0481479518
3.411819,0.638567,0.0642,0.040996001399999996
3.403103,0.640274,0.10319999999999999,0.06607627679999999
3.394387,0.641981,0.0476,0.030558295600000004
3.403103,0.63686,0.0892,0.056807912
3.394387,0.638567,0.014311972000000001,0.009139153024124
3.394387,0.638567,0.0892,0.0569601764
3.394387,0.640274,0.0726,0.0464838924
3.403103,0.640274,0.0616,0.039440878400000004
3.394387,0.640274,0.0754,0.0482766596
3.403103,0.63686,0.0448,0.028531327999999998
3.403103,0.640274,0.055999999999999994,0.035855344
3.403103,0.640274,0.0754,0.0482766596
3.403103,0.640274,0.117,0.074912058
3.411819,0.63686,0.1392,0.08865091199999998
3.394387,0.63686,0.0782,0.049802452000000004
3.403103,0.638567,0.0366,0.0233715522
3.394387,0.640274,0.0254,0.016262959599999998
3.403103,0.63686,0.0698,0.044452828
3.403103,0.638567,0.0476,0.030395789200000002
