SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.687,0.015,0.010
0.303,0.687,0.016,0.011
0.306,0.686,0.015,0.010
0.309,0.686,0.016,0.011
0.312,0.686,0.016,0.011
0.315,0.686,0.015,0.010
0.318,0.685,0.017,0.011
0.321,0.685,0.016,0.011
0.324,0.685,0.015,0.011
0.327,0.685,0.016,0.011
0.330,0.684,0.015,0.010
0.333,0.684,0.016,0.011
0.336,0.684,0.015,0.010
0.339,0.683,0.016,0.011
0.342,0.683,0.015,0.010
0.345,0.683,0.015,0.010
0.348,0.683,0.017,0.012
0.351,0.683,0.015,0.010
0.354,0.682,0.015,0.010
0.357,0.682,0.015,0.010
0.360,0.682,0.017,0.011
0.363,0.681,0.017,0.011
0.366,0.681,0.016,0.011
0.369,0.681,0.015,0.011
0.372,0.681,0.016,0.011
0.375,0.681,0.015,0.011
0.378,0.681,0.015,0.010
0.381,0.680,0.016,0.011
0.384,0.680,0.015,0.010
0.387,0.680,0.015,0.010
0.390,0.679,0.017,0.011
0.393,0.679,0.019,0.013
0.396,0.678,0.025,0.017
0.399,0.678,0.029,0.020
0.402,0.677,0.044,0.030
0.405,0.677,0.061,0.041
0.408,0.675,0.095,0.064
0.411,0.674,0.124,0.083
0.414,0.672,0.159,0.107
0.417,0.670,0.198,0.133
0.420,0.668,0.265,0.177
0.423,0.663,0.390,0.258
0.426,0.655,0.572,0.375
0.429,0.644,0.803,0.517
0.432,0.628,1.115,0.700
0.435,0.610,1.399,0.853
0.438,0.574,1.785,1.024
0.441,0.503,2.131,1.072
0.444,0.415,2.359,0.980
0.447,0.354,2.456,0.871
0.450,0.254,2.555,0.648
0.450,0.403,2.371,0.957
0.447,0.626,1.140,0.713
0.444,0.660,0.426,0.281
0.441,0.671,0.122,0.082
0.438,0.674,0.034,0.023
0.435,0.675,0.016,0.011
0.432,0.674,0.015,0.010
0.429,0.675,0.016,0.011
0.426,0.674,0.015,0.010
0.423,0.674,0.015,0.010
0.420,0.674,0.016,0.011
0.417,0.674,0.015,0.010
0.414,0.674,0.015,0.010
0.411,0.674,0.016,0.011
0.408,0.674,0.015,0.010
0.405,0.673,0.016,0.011
0.402,0.673,0.015,0.010
0.399,0.673,0.015,0.010
0.396,0.673,0.016,0.011
0.393,0.673,0.018,0.012
0.390,0.673,0.017,0.011
0.387,0.672,0.016,0.011
0.384,0.672,0.015,0.010
0.381,0.672,0.015,0.010
0.378,0.672,0.015,0.010
0.375,0.672,0.015,0.010
0.372,0.672,0.018,0.012
0.369,0.672,0.015,0.010
0.366,0.671,0.015,0.010
0.363,0.671,0.017,0.011
0.360,0.671,0.015,0.010
0.357,0.671,0.017,0.011
0.354,0.671,0.016,0.011
0.351,0.671,0.015,0.010
0.348,0.671,0.016,0.011
0.345,0.671,0.015,0.010
0.342,0.670,0.015,0.010
0.339,0.670,0.015,0.010
0.336,0.670,0.015,0.010
0.333,0.670,0.016,0.011
0.330,0.670,0.017,0.011
0.327,0.670,0.017,0.012
0.324,0.670,0.016,0.011
0.321,0.670,0.015,0.010
0.318,0.670,0.015,0.010
0.315,0.670,0.015,0.010
0.312,0.670,0.015,0.010
0.309,0.670,0.016,0.011
0.306,0.669,0.016,0.010
0.303,0.669,0.015,0.010
0.300,0.669,0.015,0.010
TERMINATE SCAN MODE
