SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
3.403103,0.621495,-0.010676394,-0.006635325489030001
3.394387,0.621495,0.019864942,0.01234596212829
3.394387,0.623203,0.0838,0.0522244114
3.394387,0.619788,0.0698,0.043261202400000004
3.38567,0.621495,0.10039999999999999,0.06239809799999999
3.394387,0.621495,0.0698,0.043380351000000004
3.394387,0.621495,0.0838,0.052081281
3.394387,0.619788,0.0394,0.0244196472
3.394387,0.623203,0.08099999999999999,0.05047944299999999
3.394387,0.621495,0.0892,0.055437354
3.394387,0.621495,0.053200000000000004,0.033063534000000006
3.394387,0.623203,0.0948,0.05907964439999999
3.403103,0.623203,0.0782,0.0487344746
3.394387,0.621495,0.028200000000000003,0.017526159000000003
3.394387,0.621495,0.0866,0.053821467
3.394387,0.618081,0.0754,0.046603307399999995
3.394387,0.62491,0.031,0.019372209999999997
3.394387,0.621495,0.0866,0.053821467
3.394387,0.623203,0.1088,0.06780448639999999
3.403103,0.621495,0.0642,0.039899978999999995
3.394387,0.618081,0.1088,0.0672472128
3.394387,0.621495,0.0616,0.038284092000000006
3.394387,0.619788,0.008759002,0.005428724331576
3.394387,0.618081,0.0838,0.051795187799999996
3.394387,0.619788,0.053200000000000004,0.032972721600000005
3.394387,0.623203,0.0476,0.0296644628
3.394387,0.621495,0.0866,0.053821467
3.394387,0.621495,0.0448,0.027842976000000002
3.394387,0.621495,0.0394,0.024486903
3.394387,0.623203,0.0448,0.027919494399999998
3.394387,0.619788,0.042,0.026031096000000004
3.38567,0.621495,0.028200000000000003,0.017526159000000003
3.38567,0.619788,0.08099999999999999,0.05020282799999999
3.394387,0.623203,0.0892,0.055589707599999996
3.394387,0.619788,0.09759999999999999,0.0604913088
3.38567,0.618081,0.106,0.065516586
3.403103,0.621495,0.055999999999999994,0.034803719999999996
3.403103,0.619788,0.042,0.026031096000000004
3.394387,0.626617,0.0366,0.0229341822
3.394387,0.621495,0.0254,0.015785973
3.394387,0.621495,0.09759999999999999,0.060657911999999994
3.394387,0.619788,0.10319999999999999,0.06396212159999999
3.38567,0.621495,0.0448,0.027842976000000002
3.38567,0.621495,0.0254,0.015785973
3.394387,0.619788,0.053200000000000004,0.032972721600000005
3.394387,0.619788,0.053200000000000004,0.032972721600000005
3.394387,0.621495,0.0588,0.036543906
3.38567,0.621495,0.053200000000000004,0.033063534000000006
3.394387,0.621495,0.067,0.04164016500000001
3.394387,0.621495,0.0504,0.031323348
3.376954,0.623203,0.0698,0.0434995694
