SCAN MODE


Gate (V),Voltage (V),Current (A),Power (W)
0.300,0.635,0.015,0.009
0.303,0.635,0.016,0.010
0.306,0.635,0.015,0.010
0.309,0.635,0.016,0.010
0.312,0.635,0.019,0.012
0.315,0.635,0.015,0.010
0.318,0.635,0.016,0.010
0.321,0.635,0.017,0.010
0.324,0.635,0.019,0.012
0.327,0.635,0.023,0.015
0.330,0.634,0.028,0.018
0.333,0.634,0.036,0.023
0.336,0.634,0.047,0.030
0.339,0.633,0.059,0.037
0.342,0.633,0.078,0.049
0.345,0.632,0.102,0.065
0.348,0.631,0.133,0.084
0.351,0.630,0.171,0.108
0.354,0.629,0.225,0.142
0.357,0.627,0.283,0.177
0.360,0.624,0.382,0.238
0.363,0.621,0.478,0.297
0.366,0.617,0.606,0.374
0.369,0.611,0.781,0.477
0.372,0.604,0.973,0.588
0.375,0.596,1.200,0.715
0.378,0.584,1.469,0.857
0.381,0.565,1.801,1.018
0.384,0.535,2.127,1.137
0.387,0.447,2.442,1.091
0.390,0.251,2.490,0.624
0.393,0.174,2.496,0.435
0.396,0.141,2.496,0.351
0.399,0.124,2.499,0.310
0.402,0.112,2.496,0.281
0.405,0.105,2.495,0.263
0.408,0.100,2.494,0.249
0.411,0.096,2.494,0.238
0.414,0.093,2.493,0.231
0.417,0.090,2.495,0.225
0.420,0.088,2.493,0.219
0.423,0.086,2.495,0.216
0.426,0.085,2.494,0.212
0.429,0.084,2.495,0.209
0.432,0.083,2.498,0.208
0.435,0.082,2.498,0.206
0.438,0.081,2.496,0.203
0.441,0.081,2.496,0.202
0.444,0.080,2.499,0.201
0.447,0.080,2.498,0.200
0.450,0.079,2.494,0.198
0.450,0.079,2.496,0.198
0.447,0.080,2.493,0.199
0.444,0.080,2.494,0.200
0.441,0.081,2.498,0.202
0.438,0.082,2.497,0.204
0.435,0.083,2.496,0.206
0.432,0.083,2.496,0.208
0.429,0.084,2.495,0.210
0.426,0.085,2.492,0.213
0.423,0.087,2.494,0.217
0.420,0.089,2.496,0.222
0.417,0.091,2.495,0.226
0.414,0.094,2.492,0.234
0.411,0.097,2.493,0.242
0.408,0.102,2.493,0.255
0.405,0.108,2.492,0.269
0.402,0.117,2.491,0.293
0.399,0.131,2.493,0.326
0.396,0.154,2.492,0.384
0.393,0.207,2.490,0.515
0.390,0.322,2.477,0.797
0.387,0.495,2.353,1.165
0.384,0.549,1.997,1.097
0.381,0.572,1.676,0.958
0.378,0.587,1.360,0.799
0.375,0.598,1.100,0.658
0.372,0.606,0.894,0.541
0.369,0.612,0.716,0.438
0.366,0.617,0.561,0.346
0.363,0.620,0.445,0.276
0.360,0.623,0.351,0.218
0.357,0.626,0.268,0.168
0.354,0.627,0.207,0.130
0.351,0.629,0.160,0.101
0.348,0.630,0.124,0.078
0.345,0.630,0.090,0.057
0.342,0.631,0.069,0.044
0.339,0.631,0.053,0.034
0.336,0.631,0.042,0.027
0.333,0.632,0.034,0.021
0.330,0.632,0.027,0.017
0.327,0.632,0.023,0.014
0.324,0.632,0.019,0.012
0.321,0.632,0.017,0.011
0.318,0.632,0.015,0.010
0.315,0.632,0.015,0.009
0.312,0.632,0.015,0.010
0.309,0.633,0.015,0.010
0.306,0.632,0.016,0.010
0.303,0.632,0.018,0.011
0.300,0.633,0.017,0.010
TERMINATE SCAN MODE
